Fecha;MP25;PM10;CO;NOX;NO2;NO;O3;SO2;TEMP_mean;TEMP_min;TEMP_max;RHUM_mean;WSPD_mean;WSPD_max
2020-06-07;41,0;76,0;0,81;62,2295;27,93;34,2956;10,0;;7,382091249999999;2,01722;14,2007;83,76004166666667;0,5874874333333333;2,06337
2020-06-08;42,0;99,0;1,44;117,364;41,21;76,1548;1,0;;6,8122516666666675;2,36712;11,55;81,48505833333333;0,3066602958333333;0,8972
2020-06-09;40,0;97,0;1,1;97,2157;33,85;63,367;6,0;;8,765022083333333;2,55851;17,1833;70,91893333333333;0,3923532666666667;1,80482
2020-06-10;45,0;112,0;1,17;103,926;35,53;68,3973;7,0;;7,841421666666666;2,04167;15,7439;71,59389583333333;0,3402036875;1,1634
2020-06-11;49,0;119,0;1,14;109,303;36,68;72,6259;4,0;;6,9291695833333335;1,38372;11,4848;75,97092083333332;0,5514014333333334;1,55206
2020-06-12;19,0;40,0;0,7;50,5419;21,43;29,1107;6,0;;8,499990833333333;3,9674;13,1505;83,9245625;0,8372128791666666;3,80496
2020-06-13;30,0;77,0;1,18;108,673;32,91;75,7642;4,0;;8,270632916666667;1,10018;18,975;73,80155833333333;0,4058959958333333;0,9637
2020-06-14;24,0;54,0;0,89;63,2609;26,14;37,1255;8,0;;11,420490416666667;3,0336;23,8895;61,81055416666667;0,5693053625;1,56347
2020-06-15;27,0;61,0;0,41;37,5009;21,32;16,1836;6,0;;9,528796666666667;6,00833;14,1605;85,28242083333333;0,8323935833333334;1,96261
2020-06-16;39,0;112,0;0,78;114,085;32,7;81,3892;1,0;;9,682049166666667;6,73351;13,9767;86,07757500000001;0,40637511249999997;1,24949
2020-06-17;17,0;40,0;0,53;47,1939;20,51;26,6802;5,0;;9,811184583333333;7,28478;11,9505;84,97003333333333;1,2336535791666667;3,64496
2020-06-18;33,0;107,0;1,04;155,786;34,72;121,07;1,0;;8,633066666666666;7,21803;11,2833;87,23020000000001;0,39025496666666665;0,89929
2020-06-19;24,0;64,0;1,11;80,8262;25,27;55,5534;2,0;;10,4371625;8,67625;13,5667;83,00151666666666;0,5324516333333333;1,73459
2020-06-20;28,0;70,0;1,26;77,303;25,15;52,1487;1,0;;10,429315416666666;9,02847;11,9022;89,60610833333334;0,5720183041666667;1,65551
2020-06-21;39,0;78,0;1,2;71,324;24,81;46,5114;4,0;;9,6097225;5,10979;14,8015;85,444975;0,26177340416666667;0,778214
2020-06-22;35,0;71,0;0,85;72,8267;27,52;45,3032;1,0;;9,342972083333333;8,12808;11,6427;92,86194166666667;0,596054375;1,32308
2020-06-23;6,0;15,0;0,83;29,4828;18,26;11,2204;9,0;;9,53392125;7,675;12,8917;85,27824166666666;1,3353431249999999;3,4699
2020-06-24;6,0;19,0;0,48;28,8169;16,96;11,8541;13,0;;7,557144583333333;3,36702;11,8445;79,21265833333334;1,1028254166666667;2,04802
2020-06-25;25,0;74,0;0,72;93,4153;30,49;62,9223;2,0;;6,008659521739131;0,250109;10,7609;78,8904375;0,34946775;1,05798
2020-06-26;25,0;70,0;1,35;84,127;32,83;51,297;3,0;;9,803400833333333;6,70009;14,2083;62,88921249999999;0,6480650833333333;1,33631
2020-06-27;44,0;111,0;1,78;140,393;36,8;103,588;2,0;;9,30358625;4,37627;15,6167;75,10034583333334;0,2774197375;0,848489
2020-06-28;33,0;73,0;0,82;81,8715;25,62;56,2505;3,0;;10,318596666666666;6,54249;15,3423;75,77787083333332;0,500397725;1,47417
2020-06-29;17,0;30,0;0,33;33,6053;18,39;15,2199;7,0;;8,398180416666667;5,94257;11,043;88,63824166666666;0,8997672916666667;3,64026
2020-06-30;20,0;58,0;1,1;81,0208;25,82;55,1996;3,0;;7,941829583333334;2,01667;12,7833;83,23716666666667;0,40700606666666667;1,06271
2020-07-01;18,0;57,0;1,58;97,3979;31,06;66,3376;2,0;;9,830108749999999;7,175;14,8333;85,410475;0,6357736833333333;2,36104
